code,name,industry,quality_score,pe_percentile,pb_percentile,pe,pb,cash_gap,profit_gap,cfo_net_rate,ar_op_ratio,report_date
002299,圣农发展,C13农副食品加工业,0.2251789032541161,8.3,22.2,13.88,1.8,-0.3890848813092307,0.14647750041673513,-0.05467793656826423,4.566789423707792,20260331
002797,第一创业,J67资本市场服务,0.22389558232931728,0.2,15.8,26.86,1.59,,0.3813431433285541,,,20260331
601995,中金公司,J67资本市场服务,0.21987951807228914,3.1,10.5,14.99,1.65,,0.3183217103234426,,,20260331
603444,吉比特,I64互联网和相关服务,0.21804618527756836,19.2,43.0,13.94,4.71,-0.39363395128056045,0.14622496395061813,0.08934448423493466,10.562477437656279,20260331
600918,中泰证券,J67资本市场服务,0.2178714859437751,37.3,4.0,29.27,1.0,,0.286439184791766,,,20260331
601788,光大证券,J67资本市场服务,0.21586345381526104,10.1,7.3,16.84,1.1,,0.2588983867223009,,,20260331
601901,方正证券,J67资本市场服务,0.20983935742971888,3.5,4.0,13.77,1.12,,0.1896014738333942,,,20260331
000987,越秀资本,J69其他金融业,0.20509256247573188,2.3,43.0,9.47,1.18,-0.8691870765540424,0.8450325879524615,-1.5726278220750813,0.49923719507544073,20260331
603939,益丰药房,F52零售业,0.20475746135138728,6.2,5.8,15.74,2.28,-0.044881424867043496,0.10591104966963116,0.01698895155560003,3.4210218221723503,20260331
600958,东方证券,J67资本市场服务,0.20381526104417672,0.4,13.7,11.71,0.96,,0.11772138058480253,,,20260331
601696,中银证券,J67资本市场服务,0.19477911646586346,8.9,27.6,29.62,1.72,,0.10108111511619966,,,20260331
601816,京沪高铁,G53铁路运输业,0.19088302377628016,9.0,13.7,18.87,1.2,0.08334857150386821,0.028239593401713226,-0.016397491756726636,0.5513062079196304,20260331
000623,吉林敖东,C27医药制造业,0.18605484160808183,5.7,38.2,7.97,0.69,-0.721459722179442,0.8458793861105366,-1.2473316161854102,1.147966017733582,20260331
002415,海康威视,C39计算机、通信和其他电子设备制造业,0.18479906161037615,44.4,48.7,21.54,4.2,-0.16785708643723196,0.3669275143234736,-0.045493827269178985,9.09340578888007,20260630
688617,惠泰医疗,C35专用设备制造业,0.18381475477337586,3.5,19.3,35.26,10.3,0.05730096905579529,-0.016041171233201812,0.07062123426046209,0.7142832227052981,20260331
601456,国联民生,J67资本市场服务,0.18373493975903615,2.7,2.7,24.11,0.96,,0.07782909255392778,,,20260331
300015,爱尔眼科,Q84卫生,0.1811211749274811,4.9,3.3,24.66,3.61,0.025075102417252193,0.05109588759067929,0.10913102989101507,3.3712942954357765,20260331
300919,中伟新材,C39计算机、通信和其他电子设备制造业,0.17771608798789523,41.1,30.7,23.62,1.81,-0.2892178539313943,0.8250128967588677,-0.05539046053872675,15.825805569300863,20260331
300953,震裕科技,C33金属制品业,0.17688971367749257,0.6,41.8,31.94,4.87,-2.3407274746133258,2.540761265433692,-0.07221702054141611,41.336623964443554,20260331
688475,萤石网络,C39计算机、通信和其他电子设备制造业,0.17634981512974243,9.2,20.6,36.37,4.16,-0.2412499970566797,0.19653564841386717,-0.10513456708704336,6.063602288644346,20260630
688188,柏楚电子,I65软件和信息技术服务业,0.17525240091752042,6.2,21.0,36.46,6.69,-0.15925186069349584,0.11077504648264225,0.25151375782014707,26.81618035121961,20260331
601990,南京证券,J67资本市场服务,0.1746987951807229,10.4,3.7,27.67,1.28,,0.05548902807847467,,,20260331
601878,浙商证券,J67资本市场服务,0.17369477911646586,4.3,3.5,16.8,1.16,,0.05368423816438117,,,20260331
002568,百润股份,C15酒、饮料和精制茶制造业,0.171182428033966,26.1,7.6,30.37,4.05,-0.08861978258867675,0.0340338498786541,-0.18804073385048864,1.2322646473883196,20260331
601318,中国平安,J68保险业,0.16967871485943775,12.0,33.5,7.35,0.96,,0.0502338390906828,,,20260331
000166,申万宏源,J67资本市场服务,0.1686746987951807,5.9,4.8,11.83,1.02,,0.04955799324797949,,,20260331
601136,首创证券,J67资本市场服务,0.16666666666666666,5.4,5.9,37.03,2.88,,0.04526889344289109,,,20260331
600941,中国移动,I63电信、广播电视和卫星传输服务,0.16321691291780158,41.7,30.7,15.4,1.47,-0.12151151617013989,-0.054286778686534864,-0.01966143505121534,2.1069057559373077,20260331
688615,合合信息,I65软件和信息技术服务业,0.15296234647885926,7.4,8.9,46.21,7.37,-0.11000979892629492,0.06488798030025755,0.2807417141531485,17.844285406013455,20260331
600276,恒瑞医药,C27医药制造业,0.1528302947809178,8.2,5.6,43.67,5.57,-0.1497599777684402,0.12023073651884175,-0.1542730511111388,4.824199547645939,20260331
002939,长城证券,J67资本市场服务,0.15160642570281124,2.4,10.6,14.16,1.03,,0.013201614328193001,,,20260331
300832,新产业,C27医药制造业,0.15014668487655636,5.9,3.1,22.68,3.88,-0.17491303708128536,0.02298727760007413,0.10616553508060221,12.095408368838036,20260331
002352,顺丰控股,G60邮政业,0.14945552411887264,4.2,4.9,15.9,1.81,-0.08988856304617143,0.05967011294449609,-0.15238687902479037,2.82080150241513,20260331
600018,上港集团,G55水上运输业,0.14930714760013877,47.5,6.7,8.84,0.83,-0.06544098859781011,0.01647258483585401,-0.2486154061814279,0.9649055868721789,20260331
000728,国元证券,J67资本市场服务,0.14859437751004015,19.0,15.0,13.78,0.83,,0.00863480448545384,,,20260331
002500,山西证券,J67资本市场服务,0.14759036144578314,4.6,14.3,20.96,1.04,,0.008159664812178224,,,20260331
603659,璞泰来,C39计算机、通信和其他电子设备制造业,0.14674523045427906,16.8,29.8,20.15,2.47,-0.23250873995143762,0.09744486972666966,-0.3155511959374806,3.1051679523370246,20260331
601881,中国银河,J67资本市场服务,0.14558232931726908,23.5,19.0,10.75,1.14,,0.006625811725215147,,,20260331
000708,中信特钢,C31黑色金属冶炼和压延加工业,0.13410745213363306,38.2,25.4,11.94,1.62,-0.07704549670331051,0.042513308885053225,-0.3184895374528892,1.2879642812901264,20260331
600809,山西汾酒,C15酒、饮料和精制茶制造业,0.1316728819305874,2.7,2.6,13.54,3.3,0.32719251964080664,-0.08865099198349213,0.16456984629146582,5.6824182963674454e-05,20260331
600378,昊华科技,C26化学原料和化学制品制造业,0.12792343334758763,45.2,31.2,34.12,2.88,-0.3820235049736662,0.5522899875770932,-1.0389298561257414,2.3526427628926605,20260331
